name	publisher	title	coverage	subject	placeOfPublication
sn86069460	N.E. Calmes	Crittenden record-press.	http://dbpedia.org/resource/Marion%2C_Kentucky	Marion County (Ky.)--Newspapers.	Marion, Ky.
sn86069867	Blade Pub. Co.	Blue-grass blade.	http://dbpedia.org/resource/Cincinnati%2C_Ohio	Fayette County (Ky.)--Newspapers.	Lexington, Ky.
sn89066313	Dept. of Journalism, University of Missouri	University Missourian.	http://dbpedia.org/resource/Columbia%2C_Missouri		Columbia, Mo.
sn84024738	J.A. Cowardin	The daily dispatch.	http://dbpedia.org/resource/Richmond%2C_Virginia	Richmond (Va.)--Newspapers.	Richmond, [Va.]
sn83016485	Jno. Dickinson	Shreveport news.	http://dbpedia.org/resource/Shreveport%2C_Louisiana		Shreveport [La.]
sn98047755	Washington Farmer	Washington farmer.	http://dbpedia.org/resource/Spokane%2C_Washington	Livestock--Washington (State)--Newspapers.	Spokane, Wash.
sn90061066	J. West Goodwin	The Sedalia weekly bazoo.	http://sws.geonames.org/4408000/	Sedalia (Mo.)--Newspapers.	Sedalia, Mo.
sn85066387	Charles M. Shortridge	The San Francisco call.	http://dbpedia.org/resource/San_Francisco%2C_California	San Francisco (Calif.)--Newspapers.	San Francisco [Calif.]
sn86069313	Barnett & Milligan	The Hartford republican.	http://sws.geonames.org/4294195/	Hartford (Ky.)--Newspapers.	Hartford, Ky.
sn96060683	James J. Nash	The Tombstone.	http://dbpedia.org/resource/Tombstone%2C_Arizona	Tombstone (Ariz.)--Newspapers.	Tombstone, Ariz.
sn82015484	Sol Miller	The Weekly Kansas chief.	http://dbpedia.org/resource/Troy%2C_Kansas		Troy, Kan.
sn87062268	Mayes & Co.	The Pensacola journal.	http://dbpedia.org/resource/Pensacola%2C_Florida	Escambia County (Fla.)--Newspapers.	Pensacola, Fla.
sn95047406	L.C. Webb	Bradford County telegraph.	http://dbpedia.org/resource/Starke%2C_Florida	Bradford County (Fla.)--Newspapers.	Starke, Fla.
sn86088529	Stock Journal Pub. Co.	Fort Worth weekly gazette.	http://sws.geonames.org/4691930/		Fort Worth, Tex.
sn90059048	Edw. Kaiser & Co.	The Bemidji pioneer.	http://dbpedia.org/resource/Bemidji%2C_Minnesota	Bemidji (Minn.)--Newspapers.	Bemidji, Beltrami County, Minn.
sn88061275	Liberty Pub. Co.	Liberty.	http://dbpedia.org/resource/La_Center%2C_Kentucky	La Center (Ky.)--Newspapers.	La Center, Ky.
sn82016351	[Sunday Globe Pub. Co.]	The Sunday globe.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn88085460	Colfax Gazette Co.	The Colfax gazette.	http://dbpedia.org/resource/Colfax%2C_Washington	Colfax (Wash.)--Newspapers.	Colfax, Wash.
sn87076843	Ed. L. Blue	Perrysburg journal.	http://dbpedia.org/resource/Perrysburg%2C_Ohio		Perrysburg, Wood Co., O. [Ohio]
sn95047324	A.P. Jordan	The Punta Gorda herald.	http://dbpedia.org/resource/Punta_Gorda%2C_Florida	Punta Gorda (Fla.)--Newspapers.	Punta Gorda, Fla.
sn83045366	Journal Print. Co.	The Minneapolis journal.	http://dbpedia.org/resource/Minneapolis%2C_Minnesota	Minneapolis (Minn.)--Newspapers.	Minneapolis, Minn.
sn89066097	J.M. Swetnam	Weekly graphic.	http://dbpedia.org/resource/Kirksville%2C_Missouri	Adair County (Mo.)--Newspapers.	Kirksville, Adair Co., Mo.
sn84025828	Henry F. Donovan	Chicago eagle.		Chicago (Ill.)--Newspapers.	Chicago, Ill.
