name	publisher	title	coverage	subject	placeOfPublication
sn84029838	W.C. Shinn	Dodge City times.	http://dbpedia.org/resource/Dodge_City%2C_Kansas	Dodge City (Kan.)--Newspapers.	Dodge City, Kan.
sn94051168	Herbert T. Ezekiel	The Jewish South.	http://dbpedia.org/resource/Richmond%2C_Virginia	Jewish newspapers--United States.	Richmond, Va.
sn90059523	[s.n.]	The Saint Paul globe.	http://dbpedia.org/resource/Saint_Paul%2C_Minnesota	Saint Paul (Minn.)--Newspapers.	St. Paul, Minn.
sn84027691	D.R. Anthony	The Leavenworth weekly times.	http://sws.geonames.org/4274305/		Leavenworth, Kan.
sn88064554	Lambert & Reese	West Feliciana sentinel.		Saint Francisville (La.)--Newspapers.	St. Francisville, La.
sn86091022	Advocate Printing Co.	Eastern Utah advocate.	http://dbpedia.org/resource/Price%2C_Utah		Price, Utah
sn88085770	Press Committee of the Socialist Party	The Northwest worker.	http://sws.geonames.org/5793933/	Socialism--Newspapers.	Everett, Wash.
sn84026749	Times Pub. Co.	The Washington times.		Washington (D.C.)--Newspapers.	Washington [D.C.]
2010270504	I.L. Bare	The North Platte semi-weekly tribune.	http://dbpedia.org/resource/North_Platte%2C_Nebraska	North Platte (Neb.)--Newspapers.	North Platte, Neb.
sn84029386	Reflector Pub.	Abilene weekly reflector.	http://dbpedia.org/resource/Abilene%2C_Kansas		Abilene, Kan.
sn86069133	Winchester News Co.	The Winchester news.	http://sws.geonames.org/4313697/	Winchester (Ky.)--Newspapers.	Winchester, Ky.
sn82016187	G.E. Lemon & Co.	The national tribune.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn86069847	Claude Buckley	The Weekly roundabout.	http://dbpedia.org/resource/Frankfort%2C_Kentucky	Franklin County (Ky.)--Newspapers.	Frankfort, Ky.
sn95069780	I.M. Rice	Valentine Democrat	http://dbpedia.org/resource/Valentine%2C_Nebraska	Cherry County (Neb.)--Newspapers.	Valentine, Neb.
sn86071854	Times Pub. Co.	The Daily times.	http://dbpedia.org/resource/Richmond%2C_Virginia	Richmond (Va.)--Newspapers.	Richmond, Va.
sn85058393	Standard-Examiner Pub. Co.	The Ogden standard-examiner.	http://dbpedia.org/resource/Ogden%2C_Utah	Ogden (Utah)--Newspapers.	Ogden, Utah
sn96027172	Arthur B. Brosn	Fort Pierce news.	http://sws.geonames.org/4156018/	Saint Lucie County (Fla.)--Newspapers.	Fort Pierce, Fla.
sn94055463	Robt. H. Miller	Custer County Republican	http://dbpedia.org/resource/Broken_Bow%2C_Nebraska	Custer County (Neb.)--Newspapers.	Broken Bow, Neb.
sn87060189	Rosser & McCarthy	Daily evening bulletin.	http://sws.geonames.org/4300152/	Maysville (Ky.)--Newspapers.	Maysville [Ky.]
sn82016408	H.A. Juen	The Democrat.	http://dbpedia.org/resource/Honolulu%2C_Hawaii	Honolulu (Hawaii)--Newspapers.	Honolulu, T.H.
sn84038806	Herald Print. Co.	Los Angeles daily herald.	http://dbpedia.org/resource/Los_Angeles%2C_California	Los Angeles (Calif.)--Newspapers.	Los Angeles [Calif.]
sn85032575	M.M. Murdock & Bro.	Wichita eagle.	http://dbpedia.org/resource/Wichita%2C_Kansas	Sedgwick County (Kan.)--Newspapers.	Wichita, Kan.
sn97070124	Herndon Bros.	The daily democrat.	http://dbpedia.org/resource/Anadarko%2C_Oklahoma	Anadarko (Okla.)--Newspapers.	Anadarko, Okla.
sn84030186	G.W. Kingsbury	The Smoky Hill and Republican union.	http://dbpedia.org/resource/Junction_City%2C_Kansas		Junction City, Kan.
sn96027438	[s.n.]	The university news.	http://sws.geonames.org/4156404/	Alachua Countty (Fla.)--Newspapers.	Gainesville, Fla.
sn96027213	News Pub. Co.	The daily news.	http://sws.geonames.org/4168228/	Escambia County (Fla.)--Newspapers.	Pensacola, Fla.
sn87060190	Rosser & McCarthy	The evening bulletin.	http://sws.geonames.org/4300152/	Maysville (Ky.)--Newspapers.	Maysville, Ky.
sn85058179	J.A. Wixom	The Garland globe.	http://sws.geonames.org/5775081/		Garland, Utah
sn85042345	World Pub. Co.	The Morning Tulsa daily world.	http://dbpedia.org/resource/Tulsa%2C_Oklahoma	Tulsa County (Okla.)--Newspapers.	Tulsa, Okla.
sn84027007	Julian A. Selby	The Columbia daily phoenix.	http://dbpedia.org/resource/Columbia%2C_South_Carolina	Columbia (S.C.)--Newspapers.	Columbia, S.C.
sn89077833	T.J. Wolfley	Arizona weekly republican.	http://dbpedia.org/resource/Phoenix%2C_Arizona	Phoenix (Ariz.)--Newspapers.	Phoenix, Ariz.
sn85058011	J.W. Carpenter	The St. George union.			St. George, Utah
sn93059208	Edward Fitzgerald	The Daytona gazette=news.		Ormond (Fla.)--Newspapers.	Daytona, Fla.
sn96080161	Morton Print. Co.	The Conservative		Social sciences--Periodicals.	Nebraska City, Neb.
sn83025092	L.H. Roberts	The Branding iron.	http://dbpedia.org/resource/Atoka%2C_Oklahoma	Indian Territory (Okla.)--Newspapers.	Atoka, I.T. [Okla.]
sn88085523	Reed & Coe	The Yakima herald.	http://sws.geonames.org/5816605/	Yakima (Wash.)--Newspapers.	North Yakima, W.T. [Wash.]
sn86069873	Champ & Miller	The Bourbon news.	http://sws.geonames.org/4303602/	Bourbon County (Ky.)--Newspapers.	Paris, Ky.
sn86071197	Houston Post Pub. Co.	The Houston daily post.	http://dbpedia.org/resource/Houston%2C_Texas	Houston (Tex.)--Newspapers.	Houston, Tex.
sn95060900	S.C. Bagg	The Arizona kicker.	http://sws.geonames.org/5317714/	Cochise County (Ariz.)--Newspapers.	Tombstone, Ariz.
sn89066652	Herald Print. Co.	The Missouri herald.	http://dbpedia.org/resource/Hayti%2C_Missouri		Hayti, Mo.
sn86071254	Jefferson Pub. Co.	Jefferson jimplecute.	http://dbpedia.org/resource/Jefferson%2C_Texas	Jefferson (Tex.)--Newspapers.	Jefferson, Tex.
sn93063916	Geo. F. Crouch	The Daytona daily news.	http://sws.geonames.org/4152872/	Volusia County (Fla.)--Newspapers.	Daytona, Fla.
sn86063615	Journal Co.	Kansas City journal.	http://sws.geonames.org/4393217/	Kansas City (Mo.)--Newspapers.	Kansas City, Mo.
sn94050505	A.W. Howe	The Arizona daily orb.	http://sws.geonames.org/5284905/	Cochise County (Ariz.)--Newspapers.	Bisbee, Ariz.
sn89064695	Gus H. Beaulieu	The Tomahawk.	http://dbpedia.org/resource/White_Earth%2C_Minnesota	White Earth (Minn.)--Newspapers.	White Earth, Becker County, Minn.
sn99063957	Hofer Bros.	Daily capital journal.	http://sws.geonames.org/5750162/	Salem (Or.)--Newspapers.	Salem, Or.
sn2008058169	Washington Critic Co.	The Washington critic.		Washington (D.C.)--Newspapers.	Washington City, D.C.
sn84029385	Strother Brothers	The Abilene reflector.	http://sws.geonames.org/4267354/	Abilene (Kan.)--Newspapers.	Abilene, Kan.
sn85042303	John F. Easley	The Daily Ardmoreite.	http://dbpedia.org/resource/Ardmore%2C_Oklahoma	Carter County (Okla.)--Newspapers.	Ardmore, Okla.
sn93068209	Herald Print. Co.	The Jewish herald.	http://dbpedia.org/resource/Houston%2C_Texas	Houston (Tex.)--Newspapers.	Houston, Tex.
sn86075021	W.D. Knight	Daily Yellowstone journal.	http://dbpedia.org/resource/Miles_City%2C_Montana	Miles City (Mont.)--Newspapers.	Miles City, Mont.
sn87093354	H.R. Cayton	Cayton's monthly.	http://dbpedia.org/resource/Seattle%2C_Washington	African Americans--Washington (State)--Seattle--Newspapers.	Seattle, Wash.
sn84026355	Tribune Pub. Co.	The Scranton tribune.	http://dbpedia.org/resource/Scranton%2C_Pennsylvania	Scranton (Pa.)--Newspapers.	Scranton, Pa.
sn88064176	H.G. Goodwyn	The Colfax chronicle.	http://dbpedia.org/resource/Colfax%2C_Louisiana		Colfax, Grant Parish, La.
sn83045830	Daily Press Co.	Daily press.	http://sws.geonames.org/4776024/	Newport News (Va.)--Newspapers.	Newport News, Va.
sn93067846	Watchman and Southron Pub. Co.	The watchman and southron.	http://dbpedia.org/resource/Sumter%2C_South_Carolina	Sumter County (S.C.)--Newspapers.	Sumter, S.C.
sn90061052	Lynn Monroe	The Jasper news.	http://dbpedia.org/resource/Jasper%2C_Missouri		Jasper, Mo.
sn95047371	Sun Co.	The morning sun.	http://dbpedia.org/resource/Tallahassee%2C_Florida	Leon County (Fla.)--Newspapers.	Tallahassee, Fla.
sn86069561	James Maret	Mount Vernon signal.	http://sws.geonames.org/4301703/	Mount Vernon (Ky.)--Newspapers.	Mt. Vernon, Ky.
sn86071134	Caller Pub. Co.	The Corpus Christi caller.	http://sws.geonames.org/4683416/		Corpus Christi, Tex.
sn82015486	Sol. Miller	White Cloud Kansas chief.	http://dbpedia.org/resource/White_Cloud%2C_Kansas	White Cloud (Kan.)--Newspapers.	White Cloud, Kan.
sn86069657	J. E. Burgher	The Clay City times.	http://sws.geonames.org/4287881/	Powell County (Ky.)--Newspapers.	Clay City, Ky.
sn83040340	Allison & Perkins	The Iola register.	http://dbpedia.org/resource/Iola%2C_Kansas		Iola, Kan.
2010218500	Tribune Pub. Co.	The Inter-mountain farmer and ranchman.	http://sws.geonames.org/5780993/	Salt Lake City (Utah)--Newspapers.	Salt Lake City, Utah
97071090	Medford Mail Tribune	Medford mail tribune.	http://dbpedia.org/resource/Medford%2C_Oregon	Medford (Or.)--Newspapers.	Medford, Or.
sn86079090	Thos.H. Manning	The Semi-weekly Shreveport news.	http://sws.geonames.org/4341513/		Shreveport [La.]
sn85038614	Dispatch Co.	Richmond dispatch.	http://sws.geonames.org/4781708/	Richmond (Va.)--Newspapers.	Richmond, Va.
sn88064057	J.W. O'Bryan	Abbeville progress.	http://dbpedia.org/resource/Abbeville%2C_Louisiana	Abbeville (La.)--Newspapers.	Abbeville, Vermilion Parish, La.
sn83016758	R.C. Dunn	The Princeton union.	http://sws.geonames.org/5042360/	Princeton (Minn.)--Newspapers.	Princeton, Minn.
sn82016246	A.E. Fay	The Arizona champion.	http://sws.geonames.org/5294810/	Flagstaff (Ariz.)--Newspapers.	Peach Springs, Mohave County, A.T. [Ariz.]
sn94050513	The Bisbee News Co.	Cochise review.	http://sws.geonames.org/5284905/	Cochise County (Ariz.)--Newspapers.	Bisbee, Ariz.
sn83025293	J. Buchanan	The Montana post.	http://sws.geonames.org/5656882/	Virginia City (Mont.)--Newspapers.	Virginia City, Montana Territory [i.e. Mont.]
sn83025001	W.A. Eaton	Cheyenne transporter.		Indians of North America--Oklahoma--Newspapers.	Darlington, Indian Terr.
sn88064118	B.D. Harrison	Claiborne guardian.	http://dbpedia.org/resource/Homer%2C_Louisiana		Homer, La.
sn88064555	S. Lambert	Feliciana sentinel.		West Feliciana Parish (La.)--Newspapers.	St. Francisville, La.
sn96096625	W.H. Mullen, et. al.	The Labor herald.	http://dbpedia.org/resource/Richmond%2C_Virginia	Working class--Virginia--Richmond--Newspapers.	Richmond, Va.
sn84026912	W.H. Trimmier	Keowee courier.	http://dbpedia.org/resource/Walhalla%2C_South_Carolina	Pickens County (S.C.)--Newspapers.	Pickens Court House, S.C.
sn95070058	W.N. Huse	The Norfolk weekly news-journal	http://dbpedia.org/resource/Norfolk%2C_Nebraska	Norfolk (Neb.)--Newspapers.	Norfolk, Neb.
sn88085189	J.C. Wheeler	The islander.	http://dbpedia.org/resource/Friday_Harbor%2C_Washington	Friday Harbor (Wash.)--Newspapers.	Friday Harbor, Wash.
2010270508	W.W. Sanders	The Nebraska advertiser.	http://dbpedia.org/resource/Nemaha%2C_Nebraska	Nebraska--Newspapers.	Nemaha City, Neb.
sn84024716	Lafferty & Co.	Lexington gazette.	http://dbpedia.org/resource/Lexington%2C_Virginia	Lexington (Va.)--Newspapers.	Lexington, Va.
sn88064499	G.W. McCranie	The Daily telegraph.	http://dbpedia.org/resource/Monroe%2C_Louisiana		Monroe, La.
sn84026917	Gilbert & Richardson	The Sumter watchman.	http://dbpedia.org/resource/Sumter%2C_South_Carolina	Sumterville (S.C.)--Newspapers.	Sumterville, S.C.
sn88064592	W.A. LeSueur	Louisiana capitolian.	http://dbpedia.org/resource/Baton_Rouge%2C_Louisiana	Baton Rouge (La.)--Newspapers.	Baton Rouge, La.
sn82003389	E.W. Halsey	The Louisiana Democrat.	http://dbpedia.org/resource/Alexandria%2C_Louisiana	Alexandria (La.)--Newspapers.	Alexandria, La.
sn96088246	W.C. Byrd	The Times-herald	http://sws.geonames.org/5716833/	Burns (Or.)--Newspapers.	Burns, Harney County, Or.
sn99063812	Herald Pub. Co.	The Evening herald.	http://sws.geonames.org/5735238/	Klamath Falls (Or.)--Newspapers.	Klamath Falls, Or.
sn86069309	John D. Babbage	The Breckenridge news.	http://dbpedia.org/resource/Hardinsburg%2C_Kentucky	Breckinridge County (Ky.)--Newspapers.	Cloverport, Ky.
sn00063520	Wm. Plughoff	The Ontario Argus.	http://dbpedia.org/resource/Ontario%2C_Oregon	Ontario (Or.)--Newspapers.	Ontario, Or.
sn88064119	C.W. Seals & J.R. Phipps	Homer guardian.	http://dbpedia.org/resource/Homer%2C_Louisiana		Homer, La.
sn97070123	Shaw & Monroe	Anadarko daily democrat.	http://sws.geonames.org/4529353/	Anadarko (Okla.)--Newspapers.	Anadarko, Okla.
sn86088527	The Caller Pub. Co.	Corpus Christi caller and daily herald.	http://dbpedia.org/resource/Corpus_Christi%2C_Texas		Corpus Christi, Tex.
sn84025841	Planet Pub. Co.	Richmond planet.	http://dbpedia.org/resource/Richmond%2C_Virginia	African Americans--Virginia--Newspapers.	Richmond, Va.
sn82015485	W.S. Tilton	Western Kansas world.	http://dbpedia.org/resource/WaKeeney%2C_Kansas		WaKeeney, Kan.
sn95060903	S.C. Bagg	Tombstone prospector.	http://sws.geonames.org/5317714/	Cochise County (Ariz.)--Newspapers.	Tombstone, Ariz.
sn86089407	E.W. Harris	The Greenville morning herald.	http://sws.geonames.org/4695066/		Greenville, Tex.
sn85033413	John H. Oberly	The Cairo bulletin.	http://sws.geonames.org/4234985/	Cairo (Ill.)--Newspapers.	Cairo, Ill.
sn84027640	G.D. Swearingen	The Big blue union.	http://sws.geonames.org/4275144/		Marysville, Kan.
sn86088201	Hill & Ivy	The Waco evening news.	http://sws.geonames.org/4739526/		Waco, Tex.
sn84025891	Bee Pub. Co.	The Washington bee.		African American newspapers--Washington (D.C.)	Washington, D.C.
sn92070146	D.D. Pellet	Imperial Valley press.	http://dbpedia.org/resource/El_Centro%2C_California	San Diego County (Calif.)--Newspapers.	El Centro, Calif.
sn87060049	Record Press	The record.	http://sws.geonames.org/4293477/	Muhlenberg County (Ky.)--Newspapers.	Greenville, Ky.
sn85054468	W.S. Hutchins	The times.		Washington (D.C.)--Newspapers.	Washington [D.C.]
sn83025010	Indian Chieftain Pub. Co.	Indian chieftain.	http://dbpedia.org/resource/Vinita%2C_Oklahoma	Indians of North America--Oklahoma--Newspapers.	Vinita, Indian Territory [Okla.]
sn87093353	H.R. Cayton	Cayton's weekly.	http://sws.geonames.org/5809844/	Seattle (Wash.)--Newspapers.	Seattle, Wash.
sn84021913	Hackney & Morehead	Arizona silver belt.	http://sws.geonames.org/5304640/	Miami (Ariz.)--Newspapers.	Globe City, Pinal County, Ariz.
sn86064451	F.W. Kellogg	The San Francisco call and post.	http://dbpedia.org/resource/San_Francisco%2C_California	San Francisco (Calif.)--Newspapers.	San Francisco, Calif.
sn86069620	T. J. Young	Owingsville outlook.	http://dbpedia.org/resource/Owingsville%2C_Kentucky	Owingsville (Ky.)--Newspapers.	Owingsville, Ky.
sn88064402	J.R. Rountree	The Rice belt journal.	http://dbpedia.org/resource/Welsh%2C_Louisiana	Welsh (La.)--Newspapers.	Welsh, Calcasieu Parish, La.
sn88064358	E.A. Mathis	The Comrade.	http://dbpedia.org/resource/Winnfield%2C_Louisiana		Winnfield, La.
sn82015056	R.W. White	The national forum.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn85042682	John T. Halleck & Co.	The Sunday herald.		Washington (D.C.)--Newspapers.	Washington [D.C.]
sn87075213	George M. Cooke	Marietta daily leader.	http://sws.geonames.org/4517586/		Marietta, Ohio
sn87060165	The Free Lance Newspaper and Job Print. Co.	The free lance.	http://sws.geonames.org/4760059/	Fredericksburg (Va.)--Newspapers.	Fredericksburg, Va.
sn86053227	Thad C. Andrews	Orangeburg news and times.	http://dbpedia.org/resource/Orangeburg%2C_South_Carolina	Orangeburg County (S.C.)--Newspapers.	Orangeburg, S.C.
sn94050554	Jones and Jackson	The Flagstaff sun-democrat.	http://dbpedia.org/resource/Flagstaff%2C_Arizona	Cocnino County (Ariz.)--Newspapers.	Flagstaff, Ariz.
sn87060150	Big Stone Post Pub. Co.	The Big Stone post.	http://sws.geonames.org/4747555/	Big Stone Gap (Va.)--Newspapers.	Big Stone Gap, Va.
2010218505	Anderson Intelligencer	The intelligencer.	http://dbpedia.org/resource/Anderson%2C_South_Carolina	Anderson County (S.C.)--Newspapers.	Anderson, S.C.
sn85058245	A. Jensen	The Spanish Fork press.	http://dbpedia.org/resource/Spanish_Fork%2C_Utah		Spanish Fork, Utah
